n_number,mfr_mdl_code,year_manufactured,aircraft_type_code,engine_type_code,certification_code,registration_status,cert_issue_date,expiration_date,owner_state,owner_country
6477E,2072402,1959.0,4,1,1,V,2024-07-11,2031-07-31,AK,US
6477H,2073604,,4,1,UNKNOWN,V,,,NE,US
6477J,7102808,,4,1,1NU,V,2023-03-24,2030-03-31,KS,US
6477M,9230408,1948.0,4,1,1,V,2005-09-19,2028-06-30,AZ,US
6477S,2071818,,4,1,1U,V,2023-04-12,2030-04-30,MN,US
6477T,2072734,1986.0,4,1,1N,V,2017-05-17,2027-05-31,AZ,US
6477W,7102802,1965.0,4,1,1NU,V,2012-04-02,2028-04-30,MS,US
6478,2621808,1928.0,4,1,1N,V,2020-07-24,2027-07-31,AR,US
64784,3021458,,5,1,1,V,2018-09-05,2028-09-30,CA,US
64786,2072508,1961.0,4,1,1N,V,2007-11-15,2029-01-31,NE,US
6478B,2072402,1957.0,4,1,1,V,2023-01-31,2030-01-31,TX,US
6478C,2110106,,4,1,1,V,2023-11-27,2030-11-30,MS,US
6478D,2072434,1979.0,4,1,1NU,V,1990-04-04,2030-01-31,AL,US
6478J,7102808,,4,1,1NU,V,2023-08-15,2030-08-31,NJ,US
6478P,2071835,1981.0,4,8,1U,V,2016-11-28,2029-11-30,NC,US
6478Q,5870214,1967.0,4,1,1N,V,2011-02-10,2030-02-28,TX,US
6478T,2071802,1960.0,4,1,1,V,2018-11-05,2028-11-30,FL,US
6478V,4300802,1970.0,4,1,1N,V,2020-01-30,2030-01-31,AK,US
6478W,7102802,1964.0,4,1,1NU,V,2023-01-23,2030-01-31,CA,US
6478X,7487007,1987.0,2,0,1B,V,2000-06-22,2027-10-31,FL,US
6479,2621818,1928.0,4,1,1N,V,2011-04-11,2030-04-30,SC,US
64791,2072436,1982.0,4,1,1NU,V,2024-08-12,2031-08-31,FL,US
64792,2072436,,4,1,1NU,V,2022-09-26,2029-09-30,FL,US
64793,1151604,1982.0,4,1,1U,V,2014-08-11,2027-08-31,FL,US
64794,1380134,,4,1,1N,V,2020-04-13,2030-04-30,TX,US
64796,1380148,,4,1,1A,V,2025-01-07,2032-01-31,TX,US
6479E,2072402,1959.0,4,1,1,V,2020-05-05,2027-05-31,AZ,US
6479F,2075816,1975.0,4,1,1N,V,1988-04-27,2030-01-31,WA,US
6479G,2071822,1970.0,4,1,1U,V,2025-07-24,2032-07-31,AL,US
6479J,7102808,1968.0,4,1,1NU,V,2014-08-21,2027-08-31,PA,US
6479K,2071830,1975.0,4,8,1U,V,1994-07-26,2027-11-30,AR,US
6479M,9230408,1948.0,4,1,1,V,2018-01-03,2028-01-31,LA,US
6479N,2073456,1978.0,4,1,1N,V,2018-02-14,2028-02-29,NM,US
6479Q,5870214,,4,1,1N,V,2018-05-11,2028-05-31,SC,US
6479R,7102802,1966.0,4,1,1NU,V,2024-05-06,2031-05-31,AK,US
6479S,1380165,,4,1,UNKNOWN,V,2008-12-08,2029-01-31,TX,US
6479T,2071802,1960.0,4,1,1,V,1973-06-19,2027-12-31,FL,US
6479U,5870208,,4,1,UNKNOWN,V,2014-03-13,2027-03-31,TX,US
6479W,7102802,1964.0,4,1,1NU,V,2025-01-13,2032-01-31,FL,US
6479X,2072610,1961.0,4,1,1,V,2016-11-15,2029-11-30,AK,US
6479Y,2073456,1981.0,4,1,1N,V,2017-06-23,2027-06-30,OR,US
647A,7102202,1951.0,4,1,1,V,2008-10-15,2028-12-31,NY,US
647AA,05658MS,1985.0,4,1,42,V,2008-10-24,2028-07-31,WA,US
647AC,059017B,2000.0,7,7,48A,V,2009-03-18,2029-10-31,OR,US
647AE,3260212,2000.0,5,5,1T,V,2011-09-30,2027-09-30,TX,US
647AG,2130004,2023.0,4,1,1N,V,2024-11-23,2031-11-30,NV,US
647AM,06102FK,,6,10,UNKNOWN,V,2025-07-18,2032-07-31,WA,US
647AS,3260402,2009.0,5,5,1N,V,2021-03-04,2028-03-31,KS,US
647AU,06102GJ,,4,7,UNKNOWN,V,2024-01-19,2031-01-31,PA,US
647AV,3940034,2008.0,5,5,1T,V,2023-03-29,2030-03-31,UT,US
647AW,3930326,1997.0,5,5,1T,V,2020-10-23,2027-10-31,UT,US
647AX,2730178,,4,4,UNKNOWN,V,2024-02-09,2031-02-28,VA,US
647B,7103212,1979.0,4,1,1N,V,2023-05-19,2030-05-31,CA,US
647BC,2076619,2020.0,5,5,1C,V,2023-02-07,2030-02-28,TX,US
647BG,06102FK,,6,10,UNKNOWN,V,2025-12-18,2032-12-31,WA,US
647CA,7102807,1978.0,4,1,1NU,V,2025-07-22,2032-07-31,GA,US
647CB,2300180,,2,0,1B,V,2024-02-15,2031-02-28,AZ,US
647CD,2130001,2005.0,4,1,1N,V,2024-09-12,2031-09-30,FL,US
647CH,7730110,2023.0,9,8,7,V,2024-02-14,2031-02-28,MS,US
647CM,05637JI,2018.0,6,1,42,V,2025-07-09,2032-07-31,FL,US
647CP,5870222,2005.0,4,1,1N,V,2021-04-17,2028-04-30,CT,US
647CR,2072439,2015.0,4,1,1NU,V,2023-12-11,2030-12-31,DE,US
647D,7570405,1944.0,4,1,443,V,1996-07-16,2028-02-29,DE,US
647DC,8141835,,6,3,UNKNOWN,V,2024-04-18,2031-04-30,FL,US
647DK,1151538,1967.0,4,1,1U,V,2026-01-15,2033-01-31,  ,GB
647DM,06001A5,2016.0,4,8,9A,V,2018-07-30,2028-07-31,GA,US
647DS,2990002,2006.0,4,1,1NU,V,2023-06-13,2030-06-30,AZ,US
647E,05642T6,2024.0,9,8,42,V,2024-11-26,2031-11-30,TX,US
647FE,3023600,,5,5,UNKNOWN,V,2020-02-11,2030-02-28,TN,US
647FL,7102802,1971.0,4,1,1NU,V,2019-07-17,2029-07-31,IL,US
647FT,7102832,2013.0,4,1,1NU,V,2014-04-21,2030-04-30,FL,US
647HJ,9130005,2008.0,2,0,1B,V,2017-06-28,2027-06-30,KY,US
647JA,056031U,1997.0,4,1,42,V,2014-01-24,2030-01-31,CO,US
647JB,1130872,2000.0,1,8,1U,V,2000-09-05,2028-08-31,TX,US
647JC,05627D9,2008.0,4,1,42,V,2023-12-09,2030-12-31,IA,US
647JR,7101828,1989.0,4,1,1NU,V,2018-04-25,2028-04-30,ID,US
647K,3910106,1930.0,4,1,1,V,2019-10-22,2029-10-31,VA,US
647KB,06101C2,,6,10,UNKNOWN,V,2023-04-12,2030-04-30,FL,US
647KL,05628TN,,4,1,42,V,2023-12-11,2030-12-31,GA,US
647LA,0390307,2008.0,4,2,314,V,2017-10-16,2027-10-31,DE,US
647M,05631N0,2013.0,4,8,42,V,2025-04-18,2032-04-30,DE,US
647MC,2802620,1967.0,5,2,1N,V,2021-09-29,2028-09-30,FL,US
647MD,2130000,2007.0,4,1,1N,V,2024-12-20,2031-12-31,IL,US
647MK,2076702,2001.0,5,5,1T,V,2019-07-01,2029-07-31,NV,US
647MM,2076616,2006.0,5,5,1C,V,2024-12-09,2031-12-31,MT,US
647MT,2072430,1970.0,4,8,1NU,V,2021-11-04,2028-11-30,ME,US
647N,2740508,,4,1,UNKNOWN,V,2015-05-22,2028-05-31,LA,US
647NA,06102II,,H,10,UNKNOWN,V,2025-11-25,2032-11-30,CA,US
647NK,3940004,2017.0,5,5,1T,V,2025-05-03,2032-05-31,FL,US
647NN,1390016,,5,5,UNKNOWN,V,2025-08-15,2032-08-31,TX,US
647P,056326S,2014.0,4,1,42,V,2024-09-05,2031-09-30,IL,US
647PA,06102FK,,6,10,UNKNOWN,V,2025-03-30,2032-03-31,WA,US
647PC,05903GV,2003.0,8,7,48A,V,2012-07-18,2028-07-31,WA,US
647PJ,060002N,2009.0,4,8,9A,V,2021-03-13,2028-03-31,GA,US
647QX,3260415,2018.0,5,5,1T,V,2018-12-19,2028-12-31,WA,US
647RA,0390208,2012.0,4,2,314,V,2025-04-15,2032-04-30,UT,US
647RE,06101Y8,,4,7,UNKNOWN,V,2020-12-22,2027-12-31,PA,US
647RM,0690009,2010.0,4,8,48B,V,2017-09-27,2027-09-30,CA,US
647RS,056043V,1997.0,4,1,42,V,1997-07-07,2027-10-31,WI,US
647RV,05632B1,2012.0,4,1,42,V,2021-11-20,2028-11-30,AZ,US
647RW,3260406,2005.0,5,5,1T,V,2021-08-25,2028-08-31,IN,US
647SA,05619SU,,4,1,UNKNOWN,V,2023-07-23,2030-07-31,IN,US
647SB,2073456,1982.0,4,1,1N,V,2012-07-02,2028-07-31,CA,US
647SE,7103300,2005.0,4,1,1N,V,2023-04-17,2030-04-30,OK,US
647SJ,7104619,2013.0,4,1,1N,V,2021-04-29,2028-04-30,FL,US
647SL,05619S2,2005.0,4,1,42,V,2025-07-03,2032-07-31,CO,US
647SP,2072439,1998.0,4,1,1NU,V,2024-06-21,2031-06-30,NC,US
647ST,7104650,2017.0,4,2,1N,V,2018-08-28,2028-08-31,DC,US
647TA,645035E,1977.0,5,4,43,V,2025-11-12,2032-11-30,PA,US
647TB,056377C,2019.0,9,8,42,V,2023-03-14,2030-03-31,OR,US
647TC,2073303,2012.0,4,1,1N,V,2018-12-28,2028-12-31,MS,US
647TF,069002L,2020.0,4,8,48B,V,2021-01-28,2028-01-31,CA,US
647TH,2072449,2021.0,4,1,1NU,V,2022-12-15,2029-12-31,DE,US
647TM,1152729,1966.0,5,1,1U,V,1994-03-21,2030-04-30,MA,US
647TS,059021Y,,7,8,48A,V,2019-03-15,2029-03-31,CA,US
647TW,2074242,1973.0,5,1,1N,V,2017-01-27,2030-01-31,OH,US
647UA,1385200,1992.0,5,5,1T,V,2015-06-03,2028-06-30,IL,US
647UC,06101C3,,6,10,UNKNOWN,V,2016-01-28,2029-01-31,KS,US
647V,1151526,1960.0,4,1,1,V,2012-07-03,2028-07-31,CA,US
647W,0190101,1930.0,4,1,1N,V,2008-09-16,2028-04-30,CA,US
647X,056392N,2021.0,4,1,42,V,2021-03-17,2028-03-31,  ,  
647XW,061008I,,6,10,UNKNOWN,V,2016-01-28,2029-01-31,TN,US
647YD,7102803,,4,1,UNKNOWN,V,2002-11-19,2028-10-31,CA,US
648,5260402,1952.0,4,4,436,V,2002-02-20,2029-10-31,MA,US
64809,13848A3,2013.0,5,5,1T,V,2013-12-10,2029-12-31,IL,US
6480B,2072402,1957.0,4,1,1,V,2014-03-06,2027-03-31,TX,US
6480D,2072434,1979.0,4,1,1NU,V,1980-07-11,2028-01-31,AZ,US
6480F,2071814,1966.0,4,1,1U,V,2025-06-02,2032-06-30,CA,US
6480G,2071822,1970.0,4,1,1U,V,2025-07-30,2032-07-31,UT,US
6480J,7102808,1968.0,4,1,1NU,V,2001-03-30,2029-11-30,PA,US
6480Q,5870214,1967.0,4,1,1N,V,2025-12-19,2032-12-31,TX,US
6480S,2071818,1967.0,4,1,1U,V,2004-12-03,2029-01-31,IN,US
6480Y,7102308,1967.0,5,1,1N,V,2010-08-30,2028-02-29,VA,US
64810,2420204,,4,1,UNKNOWN,V,2018-11-20,2028-11-30,OK,US
64814,2072436,1982.0,4,1,1NU,V,2016-08-16,2029-08-31,IN,US
64815,2072436,1982.0,4,1,1NU,V,2020-10-22,2027-10-31,CA,US
6481B,2072402,1957.0,4,1,1,V,2020-11-06,2027-11-30,ME,US
6481F,2071814,1966.0,4,1,1U,V,2001-01-04,2029-04-30,AL,US
6481H,7100510,1946.0,4,1,1N,V,2019-07-24,2029-07-31,VA,US
6481J,2072434,1980.0,4,1,1NU,V,1994-01-31,2029-06-30,MA,US
64823,2071835,,4,8,1U,V,2018-10-15,2028-10-31,FL,US
64824,6402319,1944.0,4,1,2,V,2006-11-08,2029-03-31,OR,US
64826,1380134,1943.0,4,1,1A,V,2022-03-29,2029-03-31,IL,US
6482A,2072702,1956.0,4,1,1,V,2005-01-13,2029-05-31,AZ,US
6482B,2072402,,4,1,1,V,2017-12-19,2027-12-31,KS,US
6482D,7101814,1959.0,4,1,1,V,1988-11-18,2028-10-31,AZ,US
6482E,2072402,1959.0,4,1,1,V,2021-08-21,2028-08-31,TX,US
6482H,7100510,1946.0,4,1,1,V,2006-06-06,2027-08-31,GA,US
6482J,7102808,1968.0,4,1,1NU,V,2012-02-10,2028-02-29,PA,US
6482K,2071830,,4,8,30,V,2025-01-17,2032-01-31,TX,US
6482M,2071835,1980.0,4,8,1U,V,2024-02-23,2031-02-28,FL,US
6482N,2072821,1981.0,4,1,1N,V,2023-09-03,2030-09-30,AZ,US
6482P,7102404,1959.0,4,1,1N,V,2008-06-05,2027-08-31,SD,US
6482Q,5870214,1967.0,4,1,1N,V,2001-02-22,2029-07-31,MO,US
6482Y,2073456,,4,1,1N,V,2023-07-24,2030-07-31,NM,US
6483,38019VE,1971.0,1,0,1G,V,2024-04-10,2031-04-30,MA,US
64831,2071835,1978.0,4,8,1U,V,2024-09-11,2031-09-30,CA,US
64834,2072436,1982.0,4,1,1NU,V,2016-07-18,2029-07-31,MA,US
64835,2074002,1951.0,4,1,1U,V,2025-05-27,2032-05-31,VT,US
6483A,2072702,,4,1,1,V,2023-06-22,2030-06-30,MA,US
6483F,2071814,,4,1,1U,V,2020-03-24,2030-03-31,WA,US
6483G,2071822,1970.0,4,1,1U,V,2024-04-19,2031-04-30,IL,US
6483H,7100510,1946.0,4,1,1,V,2025-09-17,2032-09-30,KS,US
6483J,7102808,,4,1,1NU,V,2020-01-27,2030-01-31,KS,US
6483K,3080204,,4,1,1,V,2023-07-11,2030-07-31,WA,US
6483P,7102404,1959.0,4,1,1N,V,1987-04-14,2030-03-31,MI,US
6483S,2071818,1967.0,4,1,1U,V,2008-08-26,2028-06-30,WI,US
6483T,2071802,,4,1,1,V,2021-04-14,2028-04-30,AK,US
6483U,5870208,,4,1,1N,V,2020-10-02,2027-10-31,WA,US
6483Z,7102504,1962.0,4,1,1N,V,2005-08-16,2028-06-30,WA,US
6484,38019VE,1971.0,1,0,1G,V,2021-03-15,2028-03-31,OH,US
64840,1151253,1982.0,4,1,1N,V,2021-01-05,2028-01-31,FL,US
64844,13848A3,2015.0,5,5,1T,V,2015-02-18,2028-02-29,IL,US
64849,2071835,1981.0,4,8,1U,V,2020-11-03,2027-11-30,TX,US
6484A,2073453,1979.0,4,1,1N,V,1980-01-30,2029-04-30,IL,US
6484D,62501XF,1958.0,4,1,42,V,2013-03-14,2029-03-31,TX,US
6484E,7487007,,2,0,UNKNOWN,V,2017-04-10,2030-04-30,MD,US
6484F,2071814,,4,1,1U,V,2024-04-15,2031-04-30,MO,US
6484J,7102808,1968.0,4,1,1NU,V,2023-02-16,2030-02-28,TX,US
6484L,1151609,1982.0,4,1,1U,V,2016-07-12,2029-07-31,CO,US
6484X,2072610,1961.0,4,1,1,V,2014-02-14,2027-02-28,TN,US
6485,38019VE,1971.0,1,0,1G,V,2017-07-13,2027-07-31,PA,US
64859,2072436,1982.0,4,1,1NU,V,2017-07-20,2027-07-31,FL,US
6485E,2072402,1959.0,4,1,1,V,2017-12-26,2027-12-31,SD,US
6485H,2071835,1979.0,4,8,1U,V,2019-06-25,2029-06-30,NY,US
6485J,7102808,1968.0,4,1,1NU,V,2014-02-26,2030-02-28,VA,US
6485K,3080202,1947.0,4,1,1,V,2016-02-04,2029-02-28,CA,US
6485Q,5870214,1967.0,4,1,1N,V,2025-01-06,2032-01-31,TX,US
6485W,7102802,1965.0,4,1,1NU,V,2015-10-05,2028-10-31,WA,US
6485Y,7102308,1967.0,5,1,1N,V,2023-06-14,2030-06-30,VI,VI
6486,38019VE,1971.0,1,0,1G,V,2021-12-07,2028-12-31,KS,US
64866,2072436,1982.0,4,1,1NU,V,2009-08-19,2028-02-29,CA,US
6486A,2072702,1956.0,4,1,1,V,2005-08-11,2028-01-31,WI,US
6486B,2072402,1956.0,4,1,1,V,2025-07-30,2032-07-31,GA,US
6486C,7103215,1978.0,4,1,1N,V,2013-03-28,2029-03-31,IL,US
6486G,2071822,1970.0,4,1,1U,V,2014-02-25,2030-02-28,WI,US
6486J,2072434,1980.0,4,1,1NU,V,2022-01-11,2029-01-31,ID,US
6486L,2071835,,4,8,1U,V,2021-05-21,2028-05-31,CT,US
6486N,1151425,1982.0,4,1,1U,V,2008-03-03,2029-10-31,TN,US
6486P,7102404,1959.0,4,1,1N,V,2011-05-04,2027-05-31,AZ,US
6486Q,5870214,1967.0,4,1,1N,V,2018-12-31,2028-12-31,NC,US
6486U,5870208,1962.0,4,1,1,V,2001-08-21,2028-01-31,TX,US
6486V,2073820,1984.0,5,1,1N,V,2022-01-24,2029-01-31,AZ,US
6486W,7102802,1964.0,4,1,1NU,V,2025-09-24,2032-09-30,PA,US
6486Y,7487007,1988.0,2,0,1B,V,2021-06-24,2028-06-30,CA,US
6486Z,7102504,1962.0,4,1,1N,V,2006-02-13,2029-11-30,GA,US
6487,8560204,1928.0,4,1,1N,V,2019-07-23,2029-07-31,OR,US
64875,2072436,1982.0,4,1,1NU,V,2008-05-07,2030-04-30,FL,US
6487A,2072702,,4,1,1,V,2020-11-18,2027-11-30,MI,US
6487B,2072402,1957.0,4,1,1,V,2018-03-14,2028-03-31,AR,US
6487D,2072434,1979.0,4,1,1NU,V,2024-01-27,2031-01-31,KY,US
6487G,2071822,1970.0,4,1,1U,V,2023-02-04,2030-02-28,WI,US
6487H,7100510,1946.0,4,1,1,V,2019-11-21,2029-11-30,NY,US
6487M,7486060,1987.0,2,0,1B,V,2015-09-01,2028-09-30,PA,US
6487Q,5870214,1967.0,4,1,1N,V,2005-04-01,2027-04-30,OH,US
6487R,7102802,1966.0,4,1,1NU,V,2010-11-19,2029-11-30,AZ,US
6487S,2071818,1967.0,4,1,1U,V,2020-07-28,2027-07-31,LA,US
6487U,5870208,1962.0,4,1,1,V,2010-12-01,2029-12-31,MD,US
6487V,4300802,,4,1,1N,V,2021-09-10,2028-09-30,KS,US
64881,4360121,1963.0,6,1,UNKNOWN,V,2011-11-10,2027-11-30,TX,US
64882,2072436,1982.0,4,1,1NU,V,2008-06-17,2027-08-31,CO,US
64888,1380134,1942.0,4,1,1N,V,2021-09-30,2028-09-30,CA,US
6488E,2072402,1959.0,4,1,1,V,2024-11-18,2031-11-30,AK,US
6488F,2071814,1966.0,4,1,1U,V,2023-04-08,2030-04-30,WA,US
6488G,2071822,1970.0,4,1,1U,V,2018-11-29,2028-11-30,WI,US
6488H,7100510,1946.0,4,1,1,V,2013-02-25,2029-02-28,FL,US
6488J,7102808,,4,1,1NU,V,2020-10-01,2027-10-31,KS,US
6488K,3080202,,4,1,1NU,V,2024-09-27,2031-09-30,FL,US
6488M,9230408,1948.0,4,1,1,V,2022-11-16,2029-11-30,MS,US
6488P,7102404,,4,1,1N,V,2019-10-21,2029-10-31,OK,US
6488Q,5870214,1967.0,4,1,1N,V,1999-05-05,2030-04-30,AZ,US
6488R,7102802,,4,1,1NU,V,2025-06-25,2032-06-30,NM,US
6488U,5870208,,4,1,1,V,2015-08-18,2028-08-31,CA,US
6488V,2072438,,4,1,1N,V,2014-07-17,2027-07-31,FL,US
6488W,7102802,1965.0,4,1,1NU,V,2014-04-09,2030-04-30,FL,US
64890,1380144,1942.0,4,1,1U,V,2013-12-17,2029-12-31,NC,US
64891,2071835,1978.0,4,8,1U,V,2020-08-06,2027-08-31,AL,US
64892,2072436,1982.0,4,1,1NU,V,2010-02-23,2029-07-31,AL,US
64893,2071835,1978.0,4,8,1U,V,1991-11-18,2028-12-31,TX,US
64898,2071835,1978.0,4,8,1U,V,2003-02-06,2029-10-31,AZ,US
6489E,2072402,1959.0,4,1,1,V,2002-01-15,2029-04-30,NH,US
6489H,2072731,1981.0,4,1,1N,V,2004-04-01,2030-02-28,PA,US
6489J,7102808,1968.0,4,1,1NU,V,2016-10-05,2029-10-31,SD,US
6489M,2071835,1980.0,4,8,1U,V,1986-11-04,2028-12-31,IL,US
6489Q,5870214,1967.0,4,1,1N,V,2017-11-15,2027-11-30,TX,US
6489W,2073454,1981.0,4,1,1N,V,2019-05-24,2029-05-31,TX,US
6489X,2072610,1961.0,4,1,1,V,2023-12-27,2030-12-31,NV,US
648AC,2130001,2010.0,4,1,1N,V,2010-05-28,2027-07-31,NC,US
648AE,3260212,2000.0,5,5,1T,V,2011-09-30,2027-09-30,TX,US
648AJ,2076750,2004.0,5,5,1T,V,2020-09-23,2027-09-30,TX,US
648AM,06102FK,,6,10,UNKNOWN,V,2025-07-18,2032-07-31,WA,US
648AS,06102JZ,,6,10,UNKNOWN,V,2025-06-16,2032-06-30,MO,US
648AU,06102GJ,2023.0,4,7,4109A9E,V,2024-01-19,2031-01-31,PA,US
648BA,06001A7,2024.0,4,8,9A,V,2024-05-28,2031-05-31,CA,US
648BC,06102II,,H,10,UNKNOWN,V,2026-01-14,2033-01-31,CA,US
648BD,2072732,1978.0,4,1,1N,V,2021-08-06,2028-08-31,WI,US
648BG,06102FK,,6,10,UNKNOWN,V,2025-12-18,2032-12-31,WA,US
648BH,1145009,2021.0,6,3,1T,V,2021-12-29,2028-12-31,WI,US
648BS,3801557,2014.0,1,11,1U,V,2025-12-04,2032-12-31,VA,US
648C,2130001,2003.0,4,1,1N,V,2024-03-18,2031-03-31,TX,US
648CA,1181511,1982.0,6,3,1N,V,2009-07-07,2028-01-31,LA,US
648CB,2130001,,4,1,1N,V,2022-08-30,2029-08-31,OH,US
648CH,05614JW,2002.0,4,1,42,V,2017-05-23,2027-05-31,NC,US
648CM,05639S8,2020.0,6,1,42,V,2020-11-16,2027-11-30,SD,US
648CP,2072449,2021.0,4,1,1NU,V,2021-09-21,2028-09-30,AL,US
648CR,1390009,2005.0,5,5,1T,V,2022-10-05,2029-10-31,DE,US
648D,1151508,1951.0,4,1,1,V,2025-10-22,2032-10-31,ND,US
648DB,6400469,,4,1,UNKNOWN,V,2024-11-01,2031-11-30,OK,US
648DC,1152812,,5,1,1N,V,2023-05-13,2030-05-31,PA,US
648DD,7150006,1999.0,5,2,1N,V,2004-11-30,2029-01-31,IA,US
648DE,2130004,2022.0,4,1,1N,V,2023-03-09,2030-03-31,NV,US
648DM,2130004,2023.0,4,1,1N,V,2023-05-11,2030-05-31,WY,US
648DS,2990002,2006.0,4,1,1NU,V,2025-09-17,2032-09-30,OR,US
648DW,2073308,1966.0,4,1,1N,V,2010-07-27,2027-11-30,LA,US
648DX,3260402,2010.0,5,5,1N,V,2019-05-13,2029-05-31,PA,US
648ES,06101KY,,6,10,UNKNOWN,V,2016-01-26,2029-01-31,KY,US
648F,2072716,,4,1,1N,V,2025-03-26,2032-03-31,CO,US
648FE,3023600,,5,5,UNKNOWN,V,2020-02-24,2030-02-28,TN,US
648FR,3930916,2024.0,5,5,1T,V,2024-10-08,2031-10-31,UT,US
648FT,7102832,2013.0,4,1,1NU,V,2014-04-21,2030-04-30,FL,US
648GB,0563120,2015.0,4,1,42,V,2025-10-29,2032-10-31,NC,US
648GH,059010D,2001.0,8,7,48A,V,2019-10-09,2029-10-31,OH,US
648H,2621810,1929.0,4,1,1,V,2004-03-17,2030-03-31,WI,US
648HA,3741202,1965.0,6,3,312450,V,2012-02-24,2028-02-29,PA,US
648HB,06001B4,2023.0,4,8,9A,V,2023-12-01,2030-12-31,NY,US
648HE,2076601,1997.0,5,5,1N,V,2025-08-04,2032-08-31,NV,US
648J,060004V,2008.0,4,8,9A,V,2021-04-16,2028-04-30,AZ,US
648JB,3940004,2006.0,5,5,1T,V,2006-12-07,2029-01-31,NY,US
648JM,05641B6,2023.0,4,1,42,V,2022-10-11,2029-10-31,TX,US
648JP,3980050,,5,5,1T,V,2025-07-29,2032-07-31,  ,  
648JR,1151604,1977.0,4,1,1U,V,2013-05-20,2029-05-31,PA,US
648JS,7090553,2019.0,4,2,1N,V,2022-03-29,2029-03-31,DE,US
648JW,2076617,2008.0,5,5,1N,V,2018-06-07,2028-06-30,PA,US
648K,3910106,,4,1,UNKNOWN,V,2021-06-16,2028-06-30,CA,US
648KM,2990004,2007.0,5,1,1N,V,2023-07-13,2030-07-31,UT,US
648LA,0390307,2002.0,4,2,31,V,,,TX,US
648LH,05902JB,2004.0,8,7,48A,V,2007-04-30,2030-01-31,IL,US
648LW,6402507,,4,1,43,V,2023-12-18,2030-12-31,WA,US
648M,060009O,2021.0,4,8,9A,V,2022-01-29,2029-01-31,OR,US
648ME,3260390,2017.0,5,5,1C,V,2024-06-26,2031-06-30,OK,US
648MM,2130001,2024.0,4,1,1N,V,2024-04-17,2031-04-30,NC,US
648NA,06102II,,H,10,UNKNOWN,V,2025-11-25,2032-11-30,CA,US
648ND,7102832,2019.0,4,1,1NU,V,2019-08-02,2029-08-31,ND,US
648NK,3940004,2017.0,5,5,1T,V,2025-05-03,2032-05-31,FL,US
648PH,05642IX,2024.0,4,1,42,V,2024-05-23,2031-05-31,WA,US
648PR,06101C5,,6,10,UNKNOWN,V,2016-05-04,2029-05-31,IA,US
648Q,1151524,1959.0,4,1,1,V,1991-12-02,2029-03-31,PA,US
648QS,2076702,2005.0,5,5,1T,V,2020-12-08,2027-12-31,OK,US
648QX,3260415,2019.0,5,5,1T,V,2019-05-23,2029-05-31,WA,US
648R,05608SP,,4,1,42,V,2025-05-12,2032-05-31,VA,US
648RC,06102D3,,6,10,UNKNOWN,V,2024-08-06,2031-08-31,TN,US
648RE,06101Y8,,4,7,UNKNOWN,V,2020-12-08,2027-12-31,PA,US
648RJ,2130004,2023.0,4,1,1N,V,2024-01-27,2031-01-31,MT,US
648RS,056411L,2024.0,4,1,42,V,2025-08-15,2032-08-31,OR,US
648RV,05621KJ,2011.0,4,1,42,V,2007-03-21,2030-01-31,MI,US
648RW,3260406,2005.0,5,5,1T,V,2021-08-25,2028-08-31,IN,US
648SA,05619SU,2005.0,4,1,1N,V,2022-08-01,2029-08-31,DE,US
648SB,2076016,1979.0,5,1,1N,V,2020-12-01,2027-12-31,TX,US
648SC,7103120,,5,1,1N,V,2025-02-13,2032-02-29,VA,US
648SH,0260401,2018.0,6,3,1N,V,2025-04-29,2032-04-30,NV,US
648SP,2072439,1998.0,4,1,1NU,V,2018-03-28,2028-03-31,OR,US
648T,7104620,1995.0,4,1,1N,V,2016-11-15,2029-11-30,TX,US
648TA,645035E,1978.0,5,4,43,V,2024-02-14,2031-02-28,NV,US
648TC,05632MN,2013.0,6,7,42,V,2017-05-10,2027-05-31,LA,US
648TL,2210410,,4,1,UNKNOWN,V,2025-05-13,2032-05-31,VT,US
648TT,2073712,2017.0,4,2,1N,V,2017-10-02,2027-10-31,TX,US
648TX,05625PS,2009.0,4,1,42,V,2008-01-11,2029-04-30,TX,US
648UA,1385200,1992.0,5,5,1T,V,2022-10-24,2029-10-31,IL,US
648V,1153404,1960.0,5,1,1,V,2021-08-12,2028-08-31,TN,US
648VW,05615BL,2004.0,4,1,42,V,2025-07-14,2032-07-31,OH,US
648WB,5460188,,4,1,1N,V,2019-01-02,2029-01-31,TX,US
648WL,06101FW,,6,10,UNKNOWN,V,2016-01-28,2029-01-31,GA,US
648Y,9600416,1930.0,4,1,1,V,2011-06-28,2027-06-30,TN,US
6490,06102D3,,6,10,UNKNOWN,V,2024-01-25,2031-01-31,OH,US
64901,2072418,1974.0,4,8,UNKNOWN,V,2016-06-28,2029-06-30,GA,US
64904,7485055,1987.0,2,0,1B,V,1992-10-15,2028-07-31,NJ,US
64905,1380134,1942.0,4,1,1N,V,2015-06-11,2028-06-30,IL,US
64908,2071835,1978.0,4,8,1U,V,2024-02-13,2031-02-28,SC,US
6490B,2072402,1957.0,4,1,1,V,2020-07-22,2027-07-31,MI,US
6490D,2072434,1979.0,4,1,1NU,V,2019-06-06,2029-06-30,TX,US
6490K,3080202,1947.0,4,1,1,V,2023-01-19,2030-01-31,TX,US
6490Q,5870214,,4,1,1N,V,2018-03-16,2028-03-31,NJ,US
6490R,7102802,,4,1,1NU,V,2019-10-30,2029-10-31,IA,US
